constellation,ra1,dec1,ra2,dec2
Apus,221.965515,-79.044751,248.364135,-78.897148
Apus,248.364135,-78.897148,250.77189,-77.51743499999998
Aquila,298.82830500000006,6.406763,297.69582,8.868322000000003
Aquila,297.69582,8.868322000000003,296.56491,10.613261
Aquila,297.69582,8.868322000000003,291.37458,3.114775
Aquila,291.37458,3.114775,298.118205,1.005661
Aquila,302.82619500000004,-0.8214610000000001,298.118205,1.005661
Aquila,291.37458,3.114775,286.352535,13.863478
Aquila,286.352535,13.863478,284.905665,15.068298
Aquila,291.37458,3.114775,286.56225,-4.882554
Aries,42.495945,27.260507,31.793325,23.462423
Aries,31.793325,23.462423,28.66002,20.808035
Aries,28.66002,20.808035,28.38255,19.293852
Capricornus,304.51356,-12.544852,305.25280499999997,-14.781367
Capricornus,305.25280499999997,-14.781367,316.48677000000004,-17.232861
Capricornus,316.48677000000004,-17.232861,320.56163999999995,-16.834542000000006
Capricornus,320.56163999999995,-16.834542000000006,325.022715,-16.662308
Capricornus,325.022715,-16.662308,326.760165,-16.127285999999998
Capricornus,320.56163999999995,-16.834542000000006,321.66677999999996,-22.411332
Capricornus,321.66677999999996,-22.411332,316.48677000000004,-17.232861
Capricornus,305.25280499999997,-14.781367,311.5239,-25.270898000000006
Capricornus,316.48677000000004,-17.232861,312.95538,-26.919133
Chamaeleon,124.63054499999998,-76.919722,158.86749,-78.607786
Chamaeleon,158.86749,-78.607786,184.58718,-79.31224
Canis Major,103.547505,-12.038628,105.939555,-15.633285999999998
Canis Major,105.939555,-15.633285999999998,104.03426999999999,-17.054242000000002
Canis Major,104.03426999999999,-17.054242000000002,101.287215,-16.716116
Canis Major,101.287215,-16.716116,105.75613499999997,-23.833291
Canis Major,105.75613499999997,-23.833291,107.09785500000002,-26.3932
Canis Major,107.09785500000002,-26.3932,108.702735,-26.772667
Canis Major,108.702735,-26.772667,111.02376,-29.303104
Canis Major,104.65645500000001,-28.972084,105.42978,-27.93483
Canis Major,105.42978,-27.93483,107.09785500000002,-26.3932
Canis Major,105.42978,-27.93483,103.554345,-23.928336
Canis Major,103.554345,-23.928336,99.17098500000002,-19.255879
Canis Major,99.17098500000002,-19.255879,98.76411000000002,-22.964793
Canis Major,99.17098500000002,-19.255879,95.674935,-17.955918
Canis Major,99.17098500000002,-19.255879,101.287215,-16.716116
Canis Major,104.65645500000001,-28.972084,102.460245,-32.508478000000004
Canis Major,95.07829500000001,-30.063367,104.65645500000001,-28.972084
Canis Major,104.03426999999999,-17.054242000000002,103.547505,-12.038628
Canis Minor,114.825495,5.224993,111.78767999999998,8.289315
Cancer,131.67425999999998,28.759898,130.821465,21.468501
Cancer,130.821465,21.468501,125.01609,27.217707
